quality_arr,model_idx,min_quality,max_quality,mean_quality,std_quality
[0.90402    0.9252312  0.917417   0.9101976  0.90407395],0,0.90402,0.9252312,0.91218793,0.008172923
[0.90506303],3,0.90506303,0.90506303,0.90506303,0.0
"[0.9006039  0.9122637  0.92262155 0.9512696  0.90272695 0.9562895
 0.9205804  0.9594264  0.93321854 0.9417579  0.9435205  0.94961894
 0.9556034  0.91010076 0.957901   0.92482275 0.92698956 0.9327715
 0.9397203  0.94611937 0.91565084 0.9209209  0.92941076]",4,0.9006039,0.9594264,0.93277866,0.017607315
"[0.9007132  0.9007329  0.9053034  0.9086957  0.9027974  0.9096341
 0.9081542  0.9065871  0.90848315 0.9116599  0.9172694  0.90271413
 0.92009604 0.90975004 0.92351884 0.9107225  0.9255007  0.9038509
 0.9064264  0.92086995 0.9046709  0.9010394  0.90849876 0.9152412
 0.91641206 0.91781265 0.92859143 0.9197286  0.9332286  0.9237268
 0.9341936  0.9278332  0.92974466 0.9275392  0.9142382  0.915345
 0.9058224  0.9148661  0.9170064  0.91698223 0.93467194 0.91719335
 0.94236976 0.91741395 0.94470835 0.9153324  0.92014796 0.9448057
 0.92426294 0.94117045 0.9261633  0.92900217 0.9192708  0.919281
 0.9224913  0.93486947 0.9215104  0.94652665 0.9193941  0.95072955
 0.91740054 0.95109826 0.9180798  0.9501791  0.92110395 0.9466605
 0.9236154  0.936432   0.9197958  0.9003165  0.93296176 0.9325966
 0.9474022  0.9290919  0.95497113 0.9245228  0.9566102  0.92034405
 0.9554295  0.9190538  0.95355034 0.9206778  0.9497614  0.9227883
 0.9403941  0.9201497  0.9414432  0.91626996 0.9440859  0.9416726
 0.9363404  0.96012115 0.929876   0.96010435 0.92405397 0.957803
 0.9212493  0.95502716 0.92182004 0.95077085 0.9235444  0.92121714
 0.9414432  0.9954343  0.9414432  0.94144315 0.9414362  0.90727615
 0.945341   0.9392551  0.9319942  0.9256609  0.95674574 0.9224418
 0.9229358  0.92476803 0.9414432  0.9954343  0.9414432  0.9954343
 0.9414432  0.9954343  0.9414432  0.99543375 0.94144064 0.94134563
 0.9126585  0.9425099  0.93693924 0.9301876  0.9247611  0.9225187
 0.9239256  0.94144326 0.9954343  0.9414432  0.9954343  0.9414432
 0.9954343  0.9414432  0.9954343  0.9414432  0.99543417 0.94144267
 0.99542713 0.9414135  0.9407945  0.90876764 0.92780674 0.923468
 0.9204797  0.92035687 0.923116   0.94144326 0.9954343  0.94144326
 0.9954343  0.9414432  0.9954343  0.9414432  0.9954343  0.94144326
 0.9954343  0.9414432  0.9414361  0.9107062  0.9121595  0.94144326
 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343  0.94144326
 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343  0.9414433
 0.9414421  0.94144326 0.9954343  0.94144326 0.9954343  0.94144326
 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343  0.94144326
 0.9954343  0.94144326 0.99543434 0.9414434  0.94144344 0.9414432
 0.94144326 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343
 0.94144326 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343
 0.9414433  0.9954343  0.9414433  0.9414435  0.9414432  0.9954343
 0.9414432  0.9954343  0.9414432  0.9954343  0.94144326 0.9954343
 0.94144326 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343
 0.9414433  0.99543434 0.9414433  0.99543434 0.94144344 0.9414437
 0.9414432  0.9414432  0.9954343  0.9414432  0.9954343  0.9414432
 0.9954343  0.9414432  0.9954343  0.94144326 0.9954343  0.94144326
 0.9954343  0.9414433  0.9954343  0.9414433  0.99543434 0.9414434
 0.94144356 0.9414432  0.9414432  0.9954343  0.9414432  0.9954343
 0.9414432  0.9954343  0.9414432  0.9954343  0.9414432  0.9414432
 0.9954343  0.94144326 0.9954343  0.94144326 0.9954343  0.9414433
 0.99543434 0.9414434  0.9414435  0.9414432  0.9954343  0.9414432
 0.9954343  0.9414432  0.9954343  0.9414432  0.9954343  0.9414432
 0.9954343  0.9414432  0.9414432  0.94144326 0.9954343  0.94144326
 0.9954343  0.9414433  0.99543434 0.9414434  0.99543434 0.9414435
 0.9414436  0.9414432  0.9954343  0.9414432  0.9954343  0.9414432
 0.9954343  0.9414432  0.9954343  0.9414432  0.9414432  0.9414432
 0.94144326 0.9954343  0.94144326 0.9954343  0.9414433  0.9954343
 0.9414434  0.9414435  0.9414437  0.9414148  0.9410459  0.93843085
 0.9275364  0.9414432  0.9954343  0.9414432  0.9414432  0.9414432
 0.9414432  0.9954343  0.94144326 0.9954343  0.94144326 0.9954343
 0.9414433  0.94144344 0.9414435  0.93967766 0.9304353  0.90098983
 0.941443   0.9414432  0.94144326 0.94144344 0.9414382  0.94138926
 0.9409206  0.9368614  0.91666085 0.94139653 0.9411845  0.9400317
 0.9331351  0.90373033 0.9414235  0.9414241  0.94139624 0.9412129
 0.9404618  0.93768036 0.9272915  0.9413863  0.9413833  0.94131464
 0.9409056  0.9393278  0.93419665 0.91940904]",5,0.9003165,0.99543434,0.9475022,0.028068282
"[0.9005062  0.91048545 0.9098478  0.92241895 0.90970325 0.9229092
 0.92755455 0.9373924  0.923004   0.9072868  0.9121237  0.9322932
 0.9058336  0.94092304 0.9119011  0.93946564 0.9117389  0.92776716
 0.9026092  0.9355949  0.90430504 0.9238724  0.93096447 0.9147333
 0.924466   0.9268978  0.90924865 0.92520225 0.911884   0.9094283
 0.90412015 0.9135225 ]",7,0.9005062,0.94092304,0.9184376,0.011466806
[0.9031734 0.9001138],8,0.9001138,0.9031734,0.90164363,0.001529783
"[0.93017906 0.9250626  0.933082   0.9322554  0.92158276 0.9201789
 0.90056944 0.9371915  0.94485956 0.90284234 0.94455993 0.95873034
 0.9459479  0.93926394 0.9571841  0.9486586  0.9256517  0.9449571
 0.93508846 0.9068013  0.923096   0.9054312  0.9311074  0.9470063
 0.93243843 0.9379038  0.96275175 0.9622059  0.93004096 0.9628949
 0.970733   0.9508758  0.9136599  0.95469856 0.967629   0.9520039
 0.941071   0.95562714 0.9373347  0.9238931  0.93390465 0.9053973
 0.90026474 0.9056624  0.92928123 0.91948014 0.9229467  0.9565539
 0.962232   0.9335058  0.91047794 0.9567564  0.97421616 0.9634771
 0.94586587 0.9739509  0.9731886  0.929554   0.96767986 0.97146744
 0.91272885 0.9566772  0.9602916  0.94056815 0.93733394 0.91524684
 0.9348366  0.94410014 0.91303706 0.94486564 0.96839166 0.9585427
 0.9324242  0.97095084 0.97533834 0.9108624  0.9657991  0.97945
 0.95769304 0.97723997 0.94734275 0.9348166  0.9527974  0.91716063
 0.9245528  0.9239464  0.95024955 0.91911316 0.96290106 0.96660686
 0.96003664 0.9527646  0.97956717 0.9451899  0.9782426  0.93666637
 0.9265697  0.91302186 0.941312   0.90984493 0.9053374  0.94618136
 0.9514697  0.9650899  0.946279   0.9398491  0.93523806 0.9775895
 0.9300804  0.9225207  0.9110569  0.9524916  0.9287439  0.93557656
 0.938193   0.9559772  0.93404484 0.96736395 0.93104464 0.93080956
 0.97627145 0.9297782  0.9761398  0.9252168  0.9155622  0.9612624
 0.9022216  0.9432702  0.915055   0.9264297  0.92599773 0.9566817
 0.9272161  0.9671873  0.9311764  0.97393256 0.9339253  0.97669435
 0.93231773 0.9750325  0.92506963 0.9682273  0.9137206  0.9552138
 0.9342135  0.9123079  0.9190158  0.9373116  0.92525834 0.95627046
 0.9330396  0.96864814 0.9389797  0.97516596 0.9402014  0.9763332
 0.93580097 0.9725695  0.92745435 0.91779464 0.9094796  0.9235418
 0.9382599  0.9354003  0.95949864 0.943789   0.97108155 0.94723403
 0.9753744  0.9453583  0.94004226 0.9190173  0.936721   0.94765
 0.9527343  0.9526034  0.90369767]",9,0.90026474,0.97956717,0.9415954,0.020900724
"[0.90212905 0.91298854 0.9101782  0.9295477  0.9044716  0.9199068
 0.9360319  0.9126623  0.9252263  0.9369012  0.91066784 0.92397505
 0.93191093 0.9119631  0.92617565 0.91449296 0.9050745  0.9407496
 0.9388851  0.9147681  0.9480996  0.9503961  0.9166815  0.9236777
 0.95279783 0.95487374 0.9256893  0.9318283  0.95558155 0.95468265
 0.9234321  0.9357799  0.9548059  0.9490995  0.93140745 0.9479401
 0.9153656  0.9041543  0.9294913  0.9327728  0.9392935  0.9528315
 0.9260504  0.9421791  0.9617955  0.9493984  0.9457371  0.96694875
 0.9616135  0.90943533 0.9101178  0.9522985  0.97085124 0.9668603
 0.9214248  0.924657   0.95913374 0.97287685 0.9663609  0.9350896
 0.962579   0.97127235 0.95917946 0.9371322  0.9607283  0.96418846
 0.9285781  0.95163983 0.90727997 0.93102175 0.934462   0.95619035
 0.92882574 0.96164274 0.96127605 0.92321414 0.9633778  0.97254187
 0.9393605  0.9263858  0.9671681  0.97909427 0.95555043 0.9385521
 0.9729587  0.98279184 0.96207464 0.9027802  0.95220864 0.9777425
 0.98343897 0.96061873 0.9223487  0.9606956  0.9790498  0.9800771
 0.95052165 0.9306119  0.9625943  0.97578573 0.9704666  0.9271308
 0.95738703 0.96552795 0.9113589  0.94266087 0.92939615 0.9357186
 0.95731854 0.92470515 0.96205693 0.9648441  0.9060762  0.9593145
 0.97591335 0.95745856 0.9813444  0.9686548  0.96177167 0.98545927
 0.9772881  0.91825414 0.96990395 0.98851657 0.980375   0.93901443
 0.97698176 0.98964614 0.9788375  0.9523329  0.98013645 0.98801345
 0.9718667  0.91419584 0.95727503 0.9787921  0.9818609  0.95536596
 0.91469806 0.95420325 0.9710982  0.96604645 0.90145403 0.94117165
 0.9520368  0.91381496 0.92940295 0.9092012  0.96176213 0.9554768
 0.98259944 0.95227313 0.98535866 0.9830022  0.95680255 0.98814756
 0.98761624 0.965562   0.99053556 0.98874307 0.9212661  0.9732683
 0.99148816 0.9866593  0.93779653 0.97710675 0.9901448  0.98021793
 0.9456743  0.9765017  0.9848111  0.96523505 0.9443773  0.96933883
 0.9705395  0.9311247  0.9502431  0.9382587  0.9020573  0.909734
 0.9290141  0.9193479  0.96124583 0.95498264 0.9864915  0.9513972
 0.9879738  0.95416844 0.98951566 0.9921994  0.96079    0.99080664
 0.9920183  0.96724594 0.9909774  0.98894304 0.91815275 0.97076833
 0.988869   0.9810824  0.9290553  0.97000647 0.9823017  0.96361274
 0.9295352  0.9617043  0.9658001  0.91477674 0.9393765  0.9299497
 0.9199834  0.91114634 0.96451867 0.9625477  0.95799345 0.98911226
 0.9541001  0.98984855 0.9537855  0.9901549  0.9566782  0.99006224
 0.9921629  0.9607277  0.9888946  0.9872541  0.90029395 0.96312004
 0.9850637  0.97615933 0.91280544 0.96109194 0.9754727  0.91305876
 0.94946253 0.95308244 0.9198325  0.9134928  0.90957195 0.9647002
 0.96247077 0.95829636 0.9908517  0.95523256 0.99012965 0.9544158
 0.98847765 0.95545954 0.98520195 0.95549726 0.97814995 0.95016134
 0.96311    0.9321081  0.9308899  0.9189754  0.9186052  0.96715987
 0.9107681  0.9695211  0.9638134  0.95930916 0.95558226 0.98588866
 0.95290524 0.97927654 0.94819194 0.93579054 0.9073502  0.931308
 0.9324548  0.92692095 0.9732632  0.9163191  0.9724767  0.9037298
 0.95794886 0.9508151  0.937693   0.92933995 0.9019039  0.93372095
 0.9254577  0.9161687  0.905712  ]",10,0.90029395,0.9921994,0.9509717,0.025771677
[0.9272863 0.906363 ],11,0.906363,0.9272863,0.9168247,0.010461658
"[0.9028772  0.9163577  0.90912384 0.9210693  0.90361094 0.91075665
 0.91853243 0.92108953 0.9402389  0.9303669  0.92858195 0.94803154
 0.94145566 0.93198067 0.9494059  0.9420748  0.9314668  0.94516265
 0.93336827 0.92369413 0.93298817 0.91394234 0.9027626  0.908374
 0.92662156 0.91401184 0.9408559  0.9487319  0.91591567 0.94226897
 0.95357215 0.9399073  0.91304755 0.93986887 0.95324665 0.94387645
 0.9170968  0.9417749  0.9533796  0.9432401  0.9253727  0.945748
 0.9524383  0.9373327  0.931736   0.94713444 0.94735396 0.9243064
 0.9288492  0.9405204  0.93483675 0.90970486 0.92041284 0.9239809
 0.9321533  0.951151   0.92282957 0.94815606 0.9557449  0.9024257
 0.93758756 0.955508   0.93701065 0.9292288  0.9531181  0.94003356
 0.93155986 0.9536617  0.939748   0.9106565  0.9408517  0.9550745
 0.93556    0.9092599  0.9329026  0.95091003 0.95448005 0.9263091
 0.9294522  0.94650805 0.9551475  0.94928175 0.9303354  0.9447613
 0.9483307  0.9121332  0.9275703  0.92458326 0.90650386 0.9410009
 0.91920656 0.9562866  0.9484789  0.9633675  0.94340426 0.9636007
 0.9460773  0.9642221  0.9277517  0.9031     0.9534804  0.9642371
 0.9217754  0.9314271  0.9618946  0.96241826 0.9028627  0.9283953
 0.9532834  0.9671507  0.9571361  0.9273632  0.94688797 0.9610511
 0.9644531  0.9267062  0.9446306  0.9534545  0.9009279  0.91951776
 0.91436803 0.9365617  0.90826374 0.95609826 0.9443048  0.97306645
 0.9330312  0.97381914 0.92761296 0.9737212  0.96605    0.93166095
 0.9748209  0.9660922  0.9422451  0.9763427  0.96250755 0.9562201
 0.97749156 0.95538306 0.9323423  0.9685081  0.97665    0.9425542
 0.927279   0.95596164 0.9734648  0.96949685 0.91817605 0.9424198
 0.9600692  0.96602404 0.9076425  0.9300505  0.9411323  0.90873146
 0.9452112  0.9302291  0.97756207 0.91999525 0.9778392  0.9159781
 0.97785926 0.9822013  0.9191185  0.97850615 0.98167866 0.9288394
 0.9798074  0.97912693 0.94449943 0.9816908  0.97456926 0.9612271
 0.9826906  0.9654895  0.93928283 0.9719697  0.9789393  0.92819697
 0.9556955  0.9707365  0.96300143 0.928273   0.9465784  0.949008
 0.90464026 0.912636   0.9378882  0.9242538  0.97948986 0.9167005
 0.9797852  0.9132923  0.979632   0.98651236 0.9137018  0.9795441
 0.985685   0.9206027  0.98025906 0.98349005 0.9352097  0.9820266
 0.97991365 0.95336074 0.9834904  0.97254246 0.92182887 0.9673476
 0.98105305 0.9554406  0.9123879  0.9482254  0.97005767 0.96802837
 0.9228432  0.94691676 0.9542911  0.91453123 0.9397286  0.9294757
 0.92267835 0.9804432  0.9172113  0.9795631  0.9142299  0.97884357
 0.9832517  0.9186309  0.97930634 0.9812405  0.9314309  0.98086417
 0.97771657 0.94871587 0.98205423 0.9702586  0.91090864 0.96308255
 0.9793349  0.9004615  0.941611   0.9670072  0.9661852  0.9156204
 0.94393134 0.9531697  0.91450775 0.91295    0.9539399  0.94809943
 0.9396799  0.93143296 0.9790907  0.9228177  0.9770492  0.9169021
 0.9755612  0.9193304  0.9758277  0.9727098  0.93058604 0.9773244
 0.9689841  0.94634295 0.9780657  0.9087266  0.95922047 0.9737772
 0.9365689  0.9610914  0.9569318  0.9051681  0.93522745 0.94302434
 0.9279487  0.91700256 0.9597677  0.9559988  0.93820405 0.92722
 0.9711209  0.91918343 0.9685683  0.9199906  0.9685269  0.93002117
 0.9700822  0.9440876  0.9699923  0.911499   0.95403093 0.9621342
 0.93075013 0.9501773  0.9187206  0.9318947  0.91836816 0.959372
 0.9526893  0.93110514 0.92231625 0.9225802  0.9314258  0.94204754
 0.9165323  0.94550645 0.9224177  0.9008463  0.93003803 0.91532004
 0.94348073 0.9329277  0.92495346 0.9070123  0.9178248  0.90565294
 0.9321963  0.92442685 0.91164714 0.9020597  0.9062124 ]",16,0.9004615,0.98651236,0.94299644,0.023200238
"[0.90113324 0.90333694 0.90633947 0.91074955 0.9140698  0.94384587
 0.9406404  0.91484535 0.9407127  0.93683803 0.91274285 0.93196625
 0.9066737  0.9164538  0.9226218  0.92125225 0.917533   0.95565337
 0.9640062  0.9141084  0.95254266 0.9638907  0.9509782  0.9105631
 0.94738597 0.9594404  0.9485666  0.9083867  0.9408805  0.9510703
 0.9076772  0.9328792  0.9377192  0.9068373  0.92211956 0.9303003
 0.9222944  0.96193904 0.9739679  0.9117851  0.95615554 0.97354764
 0.9701865  0.90073186 0.9491012  0.9706002  0.97234243 0.9425361
 0.9417253  0.966109   0.97036433 0.9444674  0.9353104  0.9605909
 0.9650631  0.93004984 0.9533131  0.95482486 0.9263162  0.9428862
 0.91942817 0.9137174  0.9274201  0.9228771  0.9618384  0.9734281
 0.9094086  0.95591325 0.97564256 0.973941   0.94665545 0.97298497
 0.9789306  0.9561148  0.93722427 0.9694027  0.97985715 0.96523726
 0.9284228  0.96543634 0.97858375 0.96706176 0.9212661  0.96120936
 0.9756489  0.9162839  0.95598483 0.9699014  0.9153095  0.9495553
 0.91450936 0.92190117 0.91090864 0.9486605  0.9547704  0.9031671
 0.9502718  0.96952945 0.9626294  0.94094616 0.9703698  0.97667086
 0.9492053  0.93003196 0.96751165 0.9809603  0.96811277 0.92122334
 0.9650868  0.9822619  0.9758194  0.9129791  0.96241415 0.9818246
 0.9777519  0.9047388  0.95866525 0.97980154 0.9534165  0.94753444
 0.90521055 0.93412316 0.9453686  0.9197644  0.9341275  0.96124464
 0.96065545 0.91379225 0.9220243  0.9619918  0.9752627  0.9552936
 0.91143507 0.9602097  0.9802107  0.9732021  0.9063002  0.9602376
 0.98258823 0.98063785 0.90089464 0.95950735 0.98306936 0.9827819
 0.95618635 0.9814588  0.9504546  0.92130214 0.93603307 0.92074496
 0.95364136 0.9568225  0.9072668  0.9549788  0.9728541  0.9546392
 0.97884053 0.9744496  0.95696175 0.9822576  0.9821076  0.95799416
 0.98345715 0.9554064  0.9140177  0.9487672  0.90155333 0.9513278
 0.9518281  0.97752804 0.9549321  0.9814464  0.9570013  0.9557206
 0.9817992  0.9509725  0.90482175 0.95089394 0.9529707  0.9549868
 0.980925   0.9550705  0.95172226 0.9435827  0.90362376 0.95097643
 0.9512906  0.9517485  0.9015527  0.90047556 0.94600296]",19,0.90047556,0.98345715,0.94642234,0.024647176
"[0.90571266 0.90300417 0.9133082  0.9085911  0.9024396  0.922708
 0.9203635  0.91546834 0.9353934  0.93259984 0.92699176 0.94287926
 0.91401994 0.9401968  0.9479876  0.90135723 0.93293    0.9492187
 0.9100297  0.934189   0.90551406 0.907054   0.9236904  0.93845856
 0.9307999  0.9522258  0.9366058  0.95923656 0.9019047  0.94475585
 0.96357125 0.9256956  0.9563842  0.9657876  0.91656846 0.9494213
 0.9649402  0.90263027 0.9374012  0.9581925  0.9012399  0.9298919
 0.9089808  0.92205405 0.9430888  0.9191643  0.95428914 0.9135558
 0.9589513  0.91268086 0.96280086 0.92083555 0.96727407 0.9393079
 0.97230464 0.9186227  0.9576398  0.973612   0.9058792  0.9450373
 0.9649577  0.9144183  0.94519275 0.92207366 0.91435546 0.95381325
 0.9546545  0.9543105  0.9559746  0.9594345  0.90170765 0.9650055
 0.9297321  0.9688229  0.90417117 0.94696444 0.964516   0.91832477
 0.9442671  0.91898715 0.95480406 0.9495056  0.9459521  0.9458274
 0.9470251  0.95041674 0.95334613 0.9088404  0.94943935 0.91268086
 0.9102723  0.91242796 0.95421827 0.9452776  0.9396082  0.93707514
 0.9342801  0.9325575  0.9306401  0.9098612  0.92389965 0.9432846
 0.937569   0.9429672  0.93593115 0.9301832  0.92237675 0.91398674
 0.91303295 0.92429215 0.90267116 0.92873925 0.9478818  0.9370025
 0.9304013  0.9212248  0.9069446  0.92498076 0.93270946 0.9045971
 0.91831785 0.9120226  0.905565   0.91559833 0.9325188  0.911135
 0.9275748  0.93642837 0.90186596 0.9031499  0.9191991  0.9465245
 0.9244253  0.9613046  0.9235234  0.95518565 0.90934104 0.9248471
 0.9429259  0.9567654  0.9593024  0.9166015  0.92814755 0.93415457
 0.9380688  0.94161034 0.9406058  0.91359556 0.94106364 0.96064216
 0.9247598  0.97336686 0.91484016 0.95950013 0.90653026 0.92213213
 0.94205004 0.9603105  0.97029316 0.92330307 0.9374786  0.94507706
 0.95078725 0.95630807 0.95810616 0.90551937 0.9070017  0.9063113
 0.91041046 0.9357935  0.9528194  0.9651032  0.91671443 0.9755404
 0.9551233  0.91053456 0.93237674 0.9548688  0.9124359  0.9314181
